Name,Year,Rating,Runtime,Votes
Mushkil,2019,4.8,130,352
Kun Faya Kun,2021,,,
Kabza,2021,,,
Sharmaji Namkeen,2021,,,
Untitled Shakun Batra Film,2021,,,
Wishlist,2020,4.8,93,122
Mayday,2022,,141,
Albert Pinto Ko Gussa Kyun Aata Hai?,2019,5.5,100,349
72 Hours: Martyr Who Never Died,2019,5.3,130,249
Praana,2019,8.3,107,793
San' 75 (Pachattar),2021,,123,
Jungle Cry,,,117,
Tera Mera Pyaar,,,,
Shikara,2020,3.8,118,6397
Perversion,2020,,60,
Untitled Ranveer Singh & Shankar Film,,,,
Baaghi 4,,,,
Banda Yeh Bindaas Hai,2021,,,
Raag,2021,,,
Cabaret,2019,3.4,95,175
Thank God,2021,,,
Half Songs,2021,9.7,79,7
Happy Hardy and Heer,2020,5.9,123,580
Aankh Micholi,2021,,,
Shiddat,,,,
Fighter,2022,,,
Lihaaf: The Quilt,2019,7.1,85,29
Tishnagi,2018,4.1,136,27
Galti,2021,5.6,,5
Tadka,,,,
Sarabha,2018,6.8,137,65
No Means No,2021,,,
Bad Boy,2020,,,
Gone Kesh,2019,7,110,1222
Teri Khata,,,,
Muddy,2021,,,
Fauji Calling,2021,5.4,134,77
Karma,2021,,105,
Khamoshi,2019,3.5,96,239
Ayalaan,,,,
Aasma,2018,5.2,105,8
LLD,2020,,95,
377 AbNormal,2019,5.6,93,93
Doctor I Love You,2021,7.9,,65
Guns of Banaras,2020,6.8,134,41
Tryst with Destiny,2020,8,96,13
Rakkhosh,2019,4.7,128,162
Second Innings,,,,
Yahan Sabhi Gyani Hain,2020,5.1,115,244
Phamous,2018,3.8,115,282
Darlings,2021,,,
Footfairy,2020,5,115,287
3 Storeys,2018,6.9,100,358
Good Luck Jerry,2021,,,
Thar,,,,
Helicopter Eela,2018,5.6,135,1042
Sangeen,2021,,,
Gul Makai,2020,2.4,132,213
Minnal Murali,2021,,,
Untitled Luv Ranjan Film,2022,,,
Bhabhipedia,2018,8.3,107,84
Nakkash,2019,7,,42
Used,2019,7.1,57,20
Taalismaan,2021,,,
Ghar Pe Bataao,2021,7.6,72,43
Screwdriver,(V,,,
Consequence Karma,2021,9,92,223
Tape Recorder,2021,,,
Queen of Sajjangarh,2021,5.9,,20
Badhaai Do,2021,,,
Battalion 609,2019,2.8,131,101
Doctor G,,,,
Kabaad- The Coin,2021,6.6,132,76
Shubh Raatri,2020,4.5,52,67
Shashank,2021,,,
Pippa,2021,,,
Kasaai,2019,6.6,96,29
Janhit Mein Jaari,2021,,,
Miss match India,,,,
Setters,2019,5.3,126,246
Switchh,2021,4.2,130,11
The Last Show,2021,,,
Abhi toh party shuru hui hai,,,,
Atithi Bhooto Bhava,2021,,,
706,2019,5.3,120,449
Baarish Aur Chowmein,2018,6.1,48,270
Chote Nawab,2020,6.1,108,7
Sir Sir Sarla,2020,,,
Mrs Undercover,2021,,,
Aafat-e-Ishq,2021,,,
The Past,2018,3.5,120,164
The Kashmir Files,,,,
Nirvana Inn,2019,5.9,95,200
Family of Thakurganj,2019,8.4,127,427
Kuch Pal Pyar Ke,2018,4.3,104,18
Bulbul Can Sing,2018,6.8,95,323
3 Dev,2019,6.9,122,35
Koi Sath Hai,2021,3.1,,18
Antenna,2021,7.1,84,7
Moksh To Maya,2019,4.2,113,45
I Am Not a Player,2021,,,
Srinagar,2020,9.1,,28
Bahattar Hoorain,2019,8.8,120,23
Sher Gujjar,2021,,,
Meenakshi Sundareshwar,,,,
Tara Mira,2019,7.3,120,31
Jaadugar,,,,
Milan Talkies,2019,5,141,321
Bombairiya,2019,4.5,104,381
Daas Dev,2018,5.1,140,257
The Platform,(I,,,
Sanak,2021,,,
Sharma Ji Ki Lag Gayi,2019,4.9,122,251
Desi Magic,2021,,,
Indian 2,,,,
Mahavir Karna,,,,
Odd Couple,2019,8.2,117,13
Halkaa,2018,7.2,114,378
Unfair & Lovely,2021,,,
Shukrdosh,2021,,,
Sakshi,2021,,112,
Nanu Ki Jaanu,2018,5.9,133,954
Hum Chaar,2019,5.7,143,285
Dobaara,2018,6.9,66,59
Josef - Born in Grace,2019,8.9,100,11
Bole Chudiyan,2021,,,
Purdah,2018,8.1,71,276
Sabaash Naidu,,,,
Lomad,,,,
Agra,,,,
Nirdosh,2018,3.9,110,138
Mee Raqsam,2020,6.7,80,384
Viraat,2021,8.9,150,294
Virgin Bhanupriya,2020,2.9,111,1095
Yeh Suhaagraat Impossible,2019,8.6,92,500
Turtle,2018,8.6,,9
Kaashi in Search of Ganga,2018,5.4,125,259
High Jack,2018,5.4,102,303
Cookie,2020,6.2,104,191
Bhor: Dawn,2018,7.8,93,147
Babloo Bachelor,2021,,,
Myakut,2020,,,
The Killer Pen,2021,,,
Main Zaroor Aaunga,2019,4.1,100,47
Mrs.Chatterjee v/s Norway,,,,
Wedlock,2021,,,
Little Singham: Kaal Ka Badla,2020,6.1,69,12
State of Siege: Temple Attack,2021,,,
Puratchi Thalaivi,2021,,,
Lashtam Pashtam,2018,6,108,77
Ghubar,2022,,,
Chanakya,2019,5.5,147,521
Ajayante Randam Moshanam,2021,,,
Baikunth,2021,9.3,72,29
Regards & Peace,2020,5.5,89,27
Showtime - A Mocumentry,,,,
House No. 446,2021,7.8,,8
Chidiakhana,2019,,115,
Dheet Patangey,2020,7.3,,64
Taxi No. 24,2021,,,
Holy Cow,2021,,,
S.P. Chauhan,2019,5.4,136,348
Chatrapathi Hindi Remake,2021,,,
Vilom,2020,6.2,82,56
Chhorriyan Chhoron Se Kam Nahi Hoti,2019,6.9,,31
Hanuman vs. Mahiravana,2018,6.9,91,103
Ala Vaikunthapurramuloo Hindi Remake,,,,
Woh Ladki Hai Kahaan,2021,,,
Dhuusar,2019,8.9,106,47
Chicken Curry Law,2019,5.3,127,30
